root,"root node",,0
9,"N-acetyltransferase 1",v22_40,1
9,"N-acetyltransferase 1",v31_40,1
10,"N-acetyltransferase 2",v30_40,1
10,"N-acetyltransferase 2",v31_40,1
19,"ATP binding cassette subfamily A member 1",v37_40,1
20,"ATP binding cassette subfamily A member 2",v01_40,1
20,"ATP binding cassette subfamily A member 2",v02_40,1
20,"ATP binding cassette subfamily A member 2",v03_40,1
20,"ATP binding cassette subfamily A member 2",v04_40,1
20,"ATP binding cassette subfamily A member 2",v06_40,1
20,"ATP binding cassette subfamily A member 2",v07_40,1
23,"ATP binding cassette subfamily F member 1",v21_40,1
23,"ATP binding cassette subfamily F member 1",v24_40,1
23,"ATP binding cassette subfamily F member 1",v26_40,1
24,"ATP binding cassette subfamily A member 4",v34_40,1
27,"ABL proto-oncogene 2, non-receptor tyrosine kinase",v11_40,1
30,"acetyl-CoA acyltransferase 1",v31_40,1
30,"acetyl-CoA acyltransferase 1",v34_40,1
33,"acyl-CoA dehydrogenase long chain",v22_40,1
33,"acyl-CoA dehydrogenase long chain",v31_40,1
34,"acyl-CoA dehydrogenase medium chain",v25_40,1
34,"acyl-CoA dehydrogenase medium chain",v26_40,1
34,"acyl-CoA dehydrogenase medium chain",v31_40,1
34,"acyl-CoA dehydrogenase medium chain",v34_40,1
35,"acyl-CoA dehydrogenase short chain",v31_40,1
36,"acyl-CoA dehydrogenase short/branched chain",v22_40,1
36,"acyl-CoA dehydrogenase short/branched chain",v31_40,1
36,"acyl-CoA dehydrogenase short/branched chain",v34_40,1
40,"acid sensing ion channel subunit 2",v01_40,1
40,"acid sensing ion channel subunit 2",v02_40,1
41,"acid sensing ion channel subunit 1",v01_40,1
41,"acid sensing ion channel subunit 1",v02_40,1
41,"acid sensing ion channel subunit 1",v03_40,1
41,"acid sensing ion channel subunit 1",v04_40,1
41,"acid sensing ion channel subunit 1",v06_40,1
41,"acid sensing ion channel subunit 1",v07_40,1
43,"acetylcholinesterase (Cartwright blood group)",v01_40,1
43,"acetylcholinesterase (Cartwright blood group)",v02_40,1
43,"acetylcholinesterase (Cartwright blood group)",v03_40,1
43,"acetylcholinesterase (Cartwright blood group)",v06_40,1
43,"acetylcholinesterase (Cartwright blood group)",v07_40,1
43,"acetylcholinesterase (Cartwright blood group)",v26_40,1
47,"ATP citrate lyase",v06_40,1
47,"ATP citrate lyase",v22_40,1
48,"aconitase 1",v17_40,1
48,"aconitase 1",v31_40,1
48,"aconitase 1",v34_40,1
51,"acyl-CoA oxidase 1",v31_40,1
52,"acid phosphatase 1",v24_40,1
53,"acid phosphatase 2, lysosomal",v31_40,1
53,"acid phosphatase 2, lysosomal",v40_40,1
54,"acid phosphatase 5, tartrate resistant",v32_40,1
56,"acrosomal vesicle protein 1",v24_40,1
70,"actin alpha cardiac muscle 1",v10_40,1
70,"actin alpha cardiac muscle 1",v11_40,1
70,"actin alpha cardiac muscle 1",v22_40,1
70,"actin alpha cardiac muscle 1",v25_40,1
70,"actin alpha cardiac muscle 1",v26_40,1
70,"actin alpha cardiac muscle 1",v27_40,1
86,"actin like 6A",v15_40,1
86,"actin like 6A",v24_40,1
87,"actinin alpha 1",v10_40,1
91,"activin A receptor type 1B",v34_40,1
91,"activin A receptor type 1B",v38_40,1
92,"activin A receptor type 2A",v19_40,1
94,"activin A receptor like type 1",v32_40,1
95,"aminoacylase 1",v31_40,1
95,"aminoacylase 1",v34_40,1
100,"adenosine deaminase",v15_40,1
101,"ADAM metallopeptidase domain 8",v12_40,1
101,"ADAM metallopeptidase domain 8",v14_40,1
101,"ADAM metallopeptidase domain 8",v16_40,1
101,"ADAM metallopeptidase domain 8",v32_40,1
105,"adenosine deaminase RNA specific B2 (inactive)",v01_40,1
105,"adenosine deaminase RNA specific B2 (inactive)",v03_40,1
105,"adenosine deaminase RNA specific B2 (inactive)",v04_40,1
105,"adenosine deaminase RNA specific B2 (inactive)",v07_40,1
105,"adenosine deaminase RNA specific B2 (inactive)",v40_40,1
107,"adenylate cyclase 1",v01_40,1
107,"adenylate cyclase 1",v02_40,1
107,"adenylate cyclase 1",v38_40,1
108,"adenylate cyclase 2",v01_40,1
108,"adenylate cyclase 2",v26_40,1
115,"adenylate cyclase 9",v26_40,1
116,"adenylate cyclase activating polypeptide 1",v01_40,1
116,"adenylate cyclase activating polypeptide 1",v03_40,1
116,"adenylate cyclase activating polypeptide 1",v06_40,1
119,"adducin 2",v01_40,1
119,"adducin 2",v02_40,1
119,"adducin 2",v03_40,1
119,"adducin 2",v06_40,1
119,"adducin 2",v16_40,1
124,"alcohol dehydrogenase 1A (class I), alpha polypeptide",v31_40,1
125,"alcohol dehydrogenase 1B (class I), beta polypeptide",v17_40,1
125,"alcohol dehydrogenase 1B (class I), beta polypeptide",v31_40,1
125,"alcohol dehydrogenase 1B (class I), beta polypeptide",v32_40,1
126,"alcohol dehydrogenase 1C (class I), gamma polypeptide",v28_40,1
126,"alcohol dehydrogenase 1C (class I), gamma polypeptide",v29_40,1
126,"alcohol dehydrogenase 1C (class I), gamma polypeptide",v30_40,1
126,"alcohol dehydrogenase 1C (class I), gamma polypeptide",v31_40,1
130,"alcohol dehydrogenase 6 (class V)",v31_40,1
130,"alcohol dehydrogenase 6 (class V)",v34_40,1
131,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",v12_40,1
131,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",v19_40,1
131,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",v27_40,1
132,"adenosine kinase",v21_40,1
132,"adenosine kinase",v27_40,1
132,"adenosine kinase",v31_40,1
134,"adenosine A1 receptor",v01_40,1
134,"adenosine A1 receptor",v03_40,1
134,"adenosine A1 receptor",v04_40,1
134,"adenosine A1 receptor",v07_40,1
134,"adenosine A1 receptor",v24_40,1
135,"adenosine A2a receptor",v12_40,1
135,"adenosine A2a receptor",v14_40,1
135,"adenosine A2a receptor",v15_40,1
135,"adenosine A2a receptor",v16_40,1
135,"adenosine A2a receptor",v32_40,1
136,"adenosine A2b receptor",v19_40,1
136,"adenosine A2b receptor",v27_40,1
136,"adenosine A2b receptor",v30_40,1
140,"adenosine A3 receptor",v04_40,1
140,"adenosine A3 receptor",v07_40,1
146,"adrenoceptor alpha 1D",v19_40,1
146,"adrenoceptor alpha 1D",v38_40,1
148,"adrenoceptor alpha 1A",v31_40,1
152,"adrenoceptor alpha 2C",v11_40,1
153,"adrenoceptor beta 1",v21_40,1
153,"adrenoceptor beta 1",v25_40,1
153,"adrenoceptor beta 1",v32_40,1
156,"G protein-coupled receptor kinase 2",v16_40,1
156,"G protein-coupled receptor kinase 2",v38_40,1
157,"G protein-coupled receptor kinase 3",v17_40,1
157,"G protein-coupled receptor kinase 3",v24_40,1
158,"adenylosuccinate lyase",v26_40,1
161,"adaptor related protein complex 2 subunit alpha 2",v02_40,1
161,"adaptor related protein complex 2 subunit alpha 2",v14_40,1
161,"adaptor related protein complex 2 subunit alpha 2",v24_40,1
163,"adaptor related protein complex 2 subunit beta 1",v24_40,1
164,"adaptor related protein complex 1 subunit gamma 1",v24_40,1
166,"TLE family member 5, transcriptional modulator",v02_40,1
167,"cysteine rich secretory protein 1",v24_40,1
167,"cysteine rich secretory protein 1",v26_40,1
167,"cysteine rich secretory protein 1",v38_40,1
176,"aggrecan",v10_40,1
176,"aggrecan",v38_40,1
177,"advanced glycosylation end-product specific receptor",v32_40,1
178,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",v22_40,1
178,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",v26_40,1
178,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",v31_40,1
185,"angiotensin II receptor type 1",v21_40,1
185,"angiotensin II receptor type 1",v37_40,1
186,"angiotensin II receptor type 2",v20_40,1
187,"apelin receptor",v07_40,1
187,"apelin receptor",v14_40,1
189,"alanine--glyoxylate and serine--pyruvate aminotransferase",v31_40,1
189,"alanine--glyoxylate and serine--pyruvate aminotransferase",v34_40,1
190,"nuclear receptor subfamily 0 group B member 1",v24_40,1
190,"nuclear receptor subfamily 0 group B member 1",v35_40,1
190,"nuclear receptor subfamily 0 group B member 1",v37_40,1
196,"aryl hydrocarbon receptor",v21_40,1
197,"alpha 2-HS glycoprotein",v31_40,1
197,"alpha 2-HS glycoprotein",v38_40,1
199,"allograft inflammatory factor 1",v16_40,1
203,"adenylate kinase 1",v26_40,1
204,"adenylate kinase 2",v34_40,1
205,"adenylate kinase 4",v34_40,1
208,"AKT serine/threonine kinase 2",v38_40,1
210,"aminolevulinate dehydratase",v16_40,1
210,"aminolevulinate dehydratase",v31_40,1
210,"aminolevulinate dehydratase",v40_40,1
211,"5'-aminolevulinate synthase 1",v31_40,1
211,"5'-aminolevulinate synthase 1",v37_40,1
212,"5'-aminolevulinate synthase 2",v16_40,1
212,"5'-aminolevulinate synthase 2",v21_40,1
213,"albumin",v29_40,1
213,"albumin",v31_40,1
213,"albumin",v34_40,1
213,"albumin",v38_40,1
217,"aldehyde dehydrogenase 2 family member",v31_40,1
218,"aldehyde dehydrogenase 3 family member A1",v12_40,1
218,"aldehyde dehydrogenase 3 family member A1",v19_40,1
218,"aldehyde dehydrogenase 3 family member A1",v27_40,1
218,"aldehyde dehydrogenase 3 family member A1",v28_40,1
218,"aldehyde dehydrogenase 3 family member A1",v32_40,1
