A0A087WWI9,A0A087WWI9_HUMAN,8551,0-10,0-10 kDa
A0A087WXM7,A0A087WXM7_HUMAN,22482,20-30,20-30 kDa
A0A087WXX5,A0A087WXX5_HUMAN,19984,10-20,10-20 kDa
A0A087WVP0,A0A087WVP0_HUMAN,27712,20-30,20-30 kDa
A0A087WZM8,A0A087WZM8_HUMAN,11139,10-20,10-20 kDa
A0A087WTX8,A0A087WTX8_HUMAN,4767,0-10,0-10 kDa
A0A087WVK5,A0A087WVK5_HUMAN,28495,20-30,20-30 kDa
A0A087WW20,A0A087WW20_HUMAN,32262,30-40,30-40 kDa
A0A087WX95,A0A087WX95_HUMAN,29111,20-30,20-30 kDa
A0A087WXB0,A0A087WXB0_HUMAN,35046,30-40,30-40 kDa
A0A087WYD4,A0A087WYD4_HUMAN,20169,20-30,20-30 kDa
A0A087WYU8,A0A087WYU8_HUMAN,11124,10-20,10-20 kDa
A0A087WZ68,A0A087WZ68_HUMAN,13793,10-20,10-20 kDa
A0A087WZA6,A0A087WZA6_HUMAN,13322,10-20,10-20 kDa
A0A087WT72,A0A087WT72_HUMAN,2489,0-10,0-10 kDa
A0A087WTU3,A0A087WTU3_HUMAN,25966,20-30,20-30 kDa
A0A087WX29,A0A087WX29_HUMAN,26743,20-30,20-30 kDa
A0A087WXS0,A0A087WXS0_HUMAN,21322,20-30,20-30 kDa
A0A087WXV3,A0A087WXV3_HUMAN,20128,20-30,20-30 kDa
A0A087WYY0,A0A087WYY0_HUMAN,34291,30-40,30-40 kDa
A0A087WZ06,A0A087WZ06_HUMAN,43953,40-50,40-50 kDa
A0A087WZC9,A0A087WZC9_HUMAN,14503,10-20,10-20 kDa
A0A087WZF6,A0A087WZF6_HUMAN,14186,10-20,10-20 kDa
A0A024QZ42,A0A024QZ42_HUMAN,14450,10-20,10-20 kDa
A0A087WTZ5,A0A087WTZ5_HUMAN,27016,20-30,20-30 kDa
A0A087WWE7,A0A087WWE7_HUMAN,6951,0-10,0-10 kDa
A0A087WZ38,A0A087WZ38_HUMAN,13959,10-20,10-20 kDa
A0A087WWZ0,A0A087WWZ0_HUMAN,7396,0-10,0-10 kDa
A0A075B6E2,A0A075B6E2_HUMAN,7831,0-10,0-10 kDa
A0A075B6F9,A0A075B6F9_HUMAN,33431,30-40,30-40 kDa
A0A075B6P0,A0A075B6P0_HUMAN,28495,20-30,20-30 kDa
A0A087WU55,A0A087WU55_HUMAN,19857,10-20,10-20 kDa
A0A087WU98,A0A087WU98_HUMAN,8894,0-10,0-10 kDa
A0A087WUQ1,A0A087WUQ1_HUMAN,7750,0-10,0-10 kDa
A0A087WV33,A0A087WV33_HUMAN,9651,0-10,0-10 kDa
A0A087WVI1,A0A087WVI1_HUMAN,34767,30-40,30-40 kDa
A0A087WW10,A0A087WW10_HUMAN,5033,0-10,0-10 kDa
A0A087WXJ0,A0A087WXJ0_HUMAN,13673,10-20,10-20 kDa
A0A087WY49,A0A087WY49_HUMAN,20917,20-30,20-30 kDa
A0A087WYT7,A0A087WYT7_HUMAN,7505,0-10,0-10 kDa
A0A087WXA5,A0A087WXA5_HUMAN,14595,10-20,10-20 kDa
A0A087WZC3,A0A087WZC3_HUMAN,111240,110-120,110-120 kDa
A0A087WZG5,A0A087WZG5_HUMAN,17198,10-20,10-20 kDa
Q9UN81,LORF1_HUMAN,40056,40-50,40-50 kDa
A0A087WVE4,A0A087WVE4_HUMAN,6844,0-10,0-10 kDa
A0A087WXW6,A0A087WXW6_HUMAN,101676,100-110,100-110 kDa
A0A087WUN7,A0A087WUN7_HUMAN,10353,10-20,10-20 kDa
A0A087WVP4,A0A087WVP4_HUMAN,104846,100-110,100-110 kDa
A0A087WXJ5,A0A087WXJ5_HUMAN,20368,20-30,20-30 kDa
A0A087WYZ9,A0A087WYZ9_HUMAN,81906,80-90,80-90 kDa
A0A087WSW7,A0A087WSW7_HUMAN,81036,80-90,80-90 kDa
A0A087WY83,A0A087WY83_HUMAN,10697,10-20,10-20 kDa
A0A087WYG2,A0A087WYG2_HUMAN,147544,140-150,140-150 kDa
A0A087WZ09,A0A087WZ09_HUMAN,45424,40-50,40-50 kDa
A0A087WZI3,A0A087WZI3_HUMAN,17783,10-20,10-20 kDa
A0A075B719,A0A075B719_HUMAN,67030,60-70,60-70 kDa
A0A087WUU5,A0A087WUU5_HUMAN,8510,0-10,0-10 kDa
A0A087WT52,A0A087WT52_HUMAN,12819,10-20,10-20 kDa
A0A075B752,A0A075B752_HUMAN,40687,40-50,40-50 kDa
A0A087WT46,A0A087WT46_HUMAN,33173,30-40,30-40 kDa
A0A087WUP0,A0A087WUP0_HUMAN,30015,30-40,30-40 kDa
A0A087WYX9,A0A087WYX9_HUMAN,106984,100-110,100-110 kDa
A0A087WZ19,A0A087WZ19_HUMAN,30365,30-40,30-40 kDa
